fabricas clientes rutas costo cantaristas tiempo 
3 20 253 542 20 80 
3 20 253 510 20 80 
3 20 253 416 20 80 
4 19 253 605 19 85 
4 19 253 523 19 79 
4 19 253 304 19 79 
4 19 253 558 19 78 
4 19 253 788 19 79 
4 19 253 357 19 78 
4 19 253 432 19 79 
4 19 253 696 19 79 
4 19 253 931 19 79 
4 19 253 264 19 78 
5 18 253 503 18 76 
5 18 253 387 18 78 
5 18 253 594 18 77 
5 18 253 377 18 76 
5 18 253 444 18 77 
5 18 253 272 18 76 
5 18 253 413 18 77 
5 18 253 313 18 76 
5 18 253 470 18 76 
5 18 253 540 18 77 
6 17 253 534 17 75 
6 17 253 230 17 75 
6 17 253 626 17 76 
6 17 253 671 17 74 
6 17 253 632 17 75 
6 17 253 451 17 75 
6 17 253 349 17 74 
6 17 253 322 17 75 
6 17 253 569 17 75 
6 17 253 283 17 79 
7 16 253 452 16 74 
7 16 253 366 16 73 
7 16 253 224 16 74 
7 16 253 398 16 73 
7 16 253 445 16 76 
7 16 253 399 16 74 
